Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity,weight,total inventory weight
Cooking Essentials,Borges Extra Light Olive Oil Bottle ,26,46,6,13.99,2000,FALSE,2,medium,12000
Munchies,Borges Extra Light Olive Oil Bottle ,26,46,6,13.99,2000,FALSE,2,medium,12000
Personal Care,Pampers Pants - Large,15.49,45,3,8.49,82,FALSE,82,low,246
Paan Corner,Pampers Pants - Large,15.49,45,3,8.49,82,FALSE,82,low,246
Cooking Essentials,Praakritik Natural Desi Gir Cow A2 Ghee,14.5,10,6,13.05,540,FALSE,540,low,3240
Munchies,Praakritik Natural Desi Gir Cow A2 Ghee,14.5,10,6,13.05,540,FALSE,540,low,3240
Cooking Essentials,Dhara Kachi Ghani Mustard Oil Jar,12.5,8,6,11.43,5000,FALSE,5,bulk,30000
Munchies,Dhara Kachi Ghani Mustard Oil Jar,12.5,8,6,11.43,5000,FALSE,5,bulk,30000
Cooking Essentials,Saffola Gold (Jar),12.4,0,6,12.4,5000,FALSE,5,bulk,30000
Munchies,Saffola Gold (Jar),12.4,0,6,12.4,5000,FALSE,5,bulk,30000
Cooking Essentials,Dhara Health Refined Sun Flower Oil Jar,12,18,6,9.84,5000,FALSE,5,bulk,30000
Munchies,Dhara Health Refined Sun Flower Oil Jar,12,18,6,9.84,5000,FALSE,5,bulk,30000
Personal Care,Pampers Active Baby Diapers New Born Extra Small ,10.99,22,3,8.49,72,FALSE,72,low,216
Paan Corner,Pampers Active Baby Diapers New Born Extra Small ,10.99,22,3,8.49,72,FALSE,72,low,216
Personal Care,Pampers Premium Care Pants - Large,10.99,18,2,8.99,44,FALSE,44,low,88
Paan Corner,Pampers Premium Care Pants - Large,10.99,18,2,8.99,44,FALSE,44,low,88
Personal Care,Pampers Premium Care Pants - Medium,10.99,18,6,8.99,54,FALSE,54,low,324
Paan Corner,Pampers Premium Care Pants - Medium,10.99,18,6,8.99,54,FALSE,54,low,324
Cooking Essentials,Dhara Filtered Groundnut Oil (Jar),10.5,1,6,10.35,5000,FALSE,5,bulk,30000
Cooking Essentials,Dhara Filtered Groundnut Oil (Jar),10.5,0,2,10.5,5000,FALSE,5,bulk,10000
Munchies,Dhara Filtered Groundnut Oil (Jar),10.5,1,6,10.35,5000,FALSE,5,bulk,30000
Munchies,Dhara Filtered Groundnut Oil (Jar),10.5,0,2,10.5,5000,FALSE,5,bulk,10000
Cooking Essentials,Fortune Rice Bran Health Oil (Jar),10.5,1,6,10.39,5000,FALSE,5,bulk,30000
Munchies,Fortune Rice Bran Health Oil (Jar),10.5,1,6,10.39,5000,FALSE,5,bulk,30000
Cooking Essentials,Fortune Soyabean Oil,10.05,0,6,9.99,5000,FALSE,5,bulk,30000
Munchies,Fortune Soyabean Oil,10.05,0,6,9.99,5000,FALSE,5,bulk,30000
Cooking Essentials,Fortune Sunlite Refined Sunflower (Jar),9.25,0,6,9.25,5000,FALSE,5,bulk,30000
Munchies,Fortune Sunlite Refined Sunflower (Jar),9.25,0,6,9.25,5000,FALSE,5,bulk,30000
Home & Cleaning,Surf Excel Matic Powder Front Load ,8.1,7,2,7.5,4000,FALSE,4,medium,8000
Home & Cleaning,Ariel Matic Front Load Detergent Washing Powder,8,15,6,6.8,3000,FALSE,3,medium,18000
Home & Cleaning,Surf Excel Matic Top Load,7.2,9,4,6.49,4000,FALSE,4,medium,16000
Home & Cleaning,Scotch Brite Multi-Purpose Sponge Wipes,7,17,6,5.81,580,FALSE,10,low,3480
Cooking Essentials,Super Saver Kolam Rice Sortex Clean ,7,10,3,6.3,5000,FALSE,5,bulk,15000
Munchies,Super Saver Kolam Rice Sortex Clean ,7,10,3,6.3,5000,FALSE,5,bulk,15000
Personal Care,Pampers All Round Protection Pants - Medium,6.99,17,6,5.75,50,FALSE,50,low,300
Paan Corner,Pampers All Round Protection Pants - Medium,6.99,17,6,5.75,50,FALSE,50,low,300
Personal Care,Pampers Pants - Medium,6.99,21,1,5.49,50,FALSE,50,low,50
Paan Corner,Pampers Pants - Medium,6.99,21,1,5.49,50,FALSE,50,low,50
Cooking Essentials,Popular Essentials Californian Almond,6.95,32,6,4.7,500,FALSE,500,low,3000
Munchies,Popular Essentials Californian Almond,6.95,32,6,4.7,500,FALSE,500,low,3000
Packaged Food,Pedigree Puppy Dry Dog Food Food Chicken & Milk,6.9,6,2,6.48,3000,FALSE,3,medium,6000
Ice Cream & Desserts,Pedigree Puppy Dry Dog Food Food Chicken & Milk,6.9,6,2,6.48,3000,FALSE,3,medium,6000
Chocolates & Candies,Pedigree Puppy Dry Dog Food Food Chicken & Milk,6.9,6,2,6.48,3000,FALSE,3,medium,6000
Packaged Food,Kelloggs Chocos - Moons & Stars,6.6,40,4,3.96,1200,FALSE,1,medium,4800
Ice Cream & Desserts,Kelloggs Chocos - Moons & Stars,6.6,40,4,3.96,1200,FALSE,1,medium,4800
Chocolates & Candies,Kelloggs Chocos - Moons & Stars,6.6,40,4,3.96,1200,FALSE,1,medium,4800
Packaged Food,Pedigree Dog Food Adult Chicken & Veg,6.6,10,1,5.94,3000,FALSE,3,medium,3000
Ice Cream & Desserts,Pedigree Dog Food Adult Chicken & Veg,6.6,10,1,5.94,3000,FALSE,3,medium,3000
Chocolates & Candies,Pedigree Dog Food Adult Chicken & Veg,6.6,10,1,5.94,3000,FALSE,3,medium,3000
Packaged Food,Pedigree Dog Food Adult Meat & Rice,6.6,7,2,6.08,3000,FALSE,3,medium,6000
Ice Cream & Desserts,Pedigree Dog Food Adult Meat & Rice,6.6,7,2,6.08,3000,FALSE,3,medium,6000
Chocolates & Candies,Pedigree Dog Food Adult Meat & Rice,6.6,7,2,6.08,3000,FALSE,3,medium,6000
